county_fips,poverty_estimate,poverty_percent,median_household_income,percent_uninsured,population_2022
13115,14 366,"15,1",56 651,,99443
13117,10 836,"4,1",130 909,,267237
13119,3 731,"16,0",49 940,,24128
13121,133 088,"12,7",89 798,,1074634
13123,4 480,"14,0",68 294,,32407
13125,400,"13,9",55 539,,2939
13127,11 354,"13,7",63 532,,85079
13129,6 721,"11,5",63 946,,58954
13131,5 587,"21,6",48 548,,26008
13133,2 716,"13,6",74 488,,20139
13135,86 107,"8,9",83 918,,975353
13137,6 213,"13,8",62 428,,47475
13139,24 679,"11,7",76 789,,212692
13141,1 912,"26,5",38 570,,8387
13143,4 682,"15,1",57 912,,31337
13145,3 235,"9,0",90 636,,36276
13147,3 711,"14,2",56 137,,26909
13149,1 727,"14,9",56 724,,11725
13151,19 857,"8,0",82 379,,248364
13153,17 991,"10,7",71 237,,169631
13155,1 676,"19,1",49 224,,9126
13157,6 088,"7,3",82 138,,83936
13159,2 038,"12,9",63 718,,15951
13161,2 995,"20,2",46 143,,14889
13163,3 511,"23,7",44 459,,15314
13165,2 070,"27,9",41 830,,8689
13167,2 033,"27,3",42 603,,9242
13169,3 243,"11,5",65 515,,28472
13171,2 442,"13,0",61 542,,19467
13173,1 878,"19,2",50 671,,10171
13175,10 450,"21,4",47 918,,49660
13177,3 360,"10,3",84 260,,33642
13179,9 160,"14,4",59 807,,68030
13181,1 201,"15,4",69 776,,7841
13183,2 550,"14,2",71 285,,18348
13185,17 678,"15,4",52 623,,119739
13187,3 740,"12,1",71 486,,34796
13189,3 798,"17,7",50 593,,21713
13191,1 893,"17,0",51 411,,11180
13193,2 365,"23,8",40 089,,11765
13195,3 809,"12,2",58 789,,31473
13197,1 423,"19,4",47 174,,7449
13199,3 435,"16,6",53 019,,20845
13201,1 292,"22,9",45 201,,5807
13205,4 470,"22,7",45 296,,21116
13207,3 208,"11,4",76 428,,29427
13209,1 602,"20,2",48 356,,8655
13211,2 337,"11,2",74 340,,21031
13213,5 332,"13,3",62 109,,40472
13215,35 163,"17,8",53 740,,202616
13217,14 313,"12,3",72 128,,117621
13219,2 583,"6,0",114 758,,43588
13221,1 954,"12,7",62 504,,15469
13223,14 003,"7,9",87 459,,178421
13225,5 008,"18,4",58 471,,28562
13227,3 684,"10,7",71 955,,34826
13229,3 338,"16,7",52 695,,20168
13231,1 709,"8,7",80 626,,19990
13233,6 441,"14,9",54 894,,43709
13235,1 693,"19,6",46 975,,9984
13237,3 027,"13,3",62 241,,22984
13239,501,"22,3",41 516,,2249
13241,2 160,"12,7",63 387,,17206
13243,1 635,"27,4",39 188,,6116
13245,35 823,"18,4",50 079,,206640
13247,10 561,"11,2",71 984,,94984
13249,693,"15,4",57 510,,4496
13251,2 572,"18,8",52 713,,13977
13253,2 090,"23,2",45 223,,9127
13255,13 102,"19,3",55 086,,68919
13257,3 587,"13,7",51 980,,26767
13259,1 010,"25,9",41 158,,4648
13261,6 101,"22,3",44 677,,28877
13263,1 192,"20,8",45 163,,5747
13265,315,"20,0",42 138,,1600
13267,4 732,"23,5",47 401,,24064
13269,1 708,"22,5",44 035,,7737
13271,2 834,"30,6",41 547,,12354
13273,2 462,"29,2",53 281,,8754
13275,8 921,"19,8",52 236,,45561
13277,6 697,"16,6",52 962,,41412
13279,5 593,"21,1",45 125,,26837
13281,1 597,"12,9",59 273,,12972
13283,1 297,"21,7",43 533,,6365
13285,12 263,"17,8",55 852,,70191
13287,2 218,"25,5",40 865,,8842
13289,1 605,"21,2",48 772,,7680
13291,2 665,"10,3",64 588,,26388
13293,5 780,"20,9",48 061,,28086
13295,9 937,"14,8",53 407,,68915
13297,11 458,"11,3",83 037,,103065
13299,5 943,"17,6",48 245,,35614
13301,1 189,"23,4",44 367,,5155
13303,3 949,"22,0",48 462,,19738
13305,5 136,"17,8",51 102,,30896
13307,421,"18,1",45 987,,2328
13309,1 565,"31,1",35 952,,7314
13311,3 391,"12,1",62 100,,28806
13313,13 161,"12,9",61 680,,103132
13315,1 790,"26,4",44 905,,8761
13317,1 766,"18,6",47 377,,9599
13319,1 456,"17,0",49 648,,8681
13321,4 499,"22,2",48 956,,20424
15001,29 609,"14,6",71 143,,206315
15003,89 980,"9,3",96 304,,995638
15005,.,.,.,,82
15007,6 620,"9,1",81 939,,73810
15009,14 663,"9,0",89 794,,164351
16001,40 623,"8,0",87 748,,518907
16003,579,"12,1",56 374,,4817
16005,11 147,"12,7",62 120,,89517
16007,641,"9,6",66 006,,6722
16009,1 483,"14,4",56 188,,10370
16011,5 825,"11,8",70 052,,49923
16013,1 700,"6,9",98 707,,24866
16015,808,"9,7",74 121,,8333
16017,6 258,"12,3",64 860,,51414
16019,13 653,"10,7",74 505,,129496
16021,1 644,"12,4",62 801,,13345
16023,399,"14,9",57 085,,2684
16025,108,"9,4",73 311,,1153
16027,25 965,"10,5",70 594,,251065
16029,689,"9,7",70 354,,7190
16031,2 926,"11,6",68 170,,25655
16033,116,"14,5",53 366,,806
16035,1 208,"14,5",57 081,,9015
16037,575,"12,9",57 405,,4506
